Stock,Predict_close_price,Open_price
0020,1.585953872077158,1.61
0241,3.366385064629779,3.19
0268,9.488325127258426,7.49
0285,35.52474071951153,37.3
0522,84.31963688194912,108.0
0700,382.125287843766,384.8
0772,25.48632149854715,24.8
0780,15.47724259493233,15.52
0981,17.17881300079163,17.48
0992,10.6061990993282,11.26
1024,42.21773151528549,44.8
1347,20.22043795175149,21.3
1797,15.61144536931476,13.18
1810,16.57660169107515,16.92
2015,80.36905823326516,81.0
3690,119.1426285419032,119.7
3888,20.49490486554593,21.45
6060,15.75466320262231,13.44
6618,35.23963197865213,21.5
6690,24.50136733697841,25.3
9618,100.3348178452473,102.2
9626,123.6252417351627,125.8
9868,30.805675877892,31.45
9888,91.23708105927945,87.1
9961,310.0160655507408,393.2
9988,72.6600779613224,73.1
9999,145.9774271878813,147.6
