Stock,Predict_close_price,Open_price
0020,1.187982726382154,1.1
0241,3.36060499143097,2.86
0268,9.567054913049743,6.1
0285,26.39431907187792,26.25
0522,76.6628736087043,80.4
0700,370.8541716933011,369.2
0772,25.43225639294038,25.15
0780,14.99719515590759,15.08
0981,15.30653706453631,15.96
0992,9.054761536429421,9.08
1024,38.0270072707692,39.5
1347,16.57547770641306,15.84
1797,16.51638391563488,12.88
1810,16.61216578944398,18.62
2015,72.23269647556751,73.4
3690,110.1448217757928,119.4
3888,21.73050256498551,21.15
6060,15.75931534206716,9.5
6618,35.96401209929714,23.85
6690,22.94597841741536,23.0
9618,102.72471532733,101.1
9626,117.5646236961864,118.1
9868,34.06313654022883,33.0
9888,88.58845176292529,79.05
9961,317.244305941279,368.0
9988,82.15804044730963,80.0
9999,119.7566891688419,120.0
